"Vehicle Name","Vehicle Price Range","Battery Capacity","Range (Jarak Tempuh)","Power/Horsepower","Seating Capacity","Charging time","Source URL","Is EV"
"BYD Denza D9","Rp 950 Juta","103.36 kWh","600 km","308 hp","7 Kursi","45 Menit","https://www.oto.com/mobil-baru/byd/denza-d9",TRUE
"Rolls Royce Spectre","Rp 26,6 - 31,6 Juta","102 kWh","520 km","577 hp","4 Kursi","34 Menit","https://www.oto.com/mobil-baru/rolls-royce/spectre",TRUE
"Porsche Taycan","Rp 26,6 - 31,6 Juta","89 - 105 kWh","434 - 503 km","408 - 764 hp","4 - 5 Kursi","22.5 Menit","https://www.oto.com/mobil-baru/porsche/taycan",TRUE
"Hyundai Ioniq 5","Rp 809 - 933,6 Juta","58 - 72.6 kWh","384 - 481 km","168 - 214 hp","5 Kursi","18 Menit","https://www.oto.com/mobil-baru/hyundai/ioniq-5",TRUE
"MG ZS EV","Rp 376 - 417,5 Juta","50.3 kWh","403 km","177 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/mg/zs-ev",TRUE
"Hyundai Kona Electric","Rp 565,3 - 689,6 Juta","48.9 - 66 kWh","305 - 484 km","154 - 214 hp","5 Kursi","43 Menit","https://www.oto.com/mobil-baru/hyundai/kona-electric",TRUE
"DFSK Gelora Electric","Rp 582,1 Juta","42 kWh","300 km","80 hp","2 - 7 Kursi","2.5 Jam","https://www.oto.com/mobil-baru/dfsk/gelora-electric",TRUE
"Tesla Model X","Rp 26,6 - 31,6 Juta","100 kWh","543 - 579 km","670 - 1020 hp","5 Kursi","15 Menit (Supercharger)","https://www.oto.com/mobil-baru/tesla/model-x",TRUE
"Hyundai Ioniq 6","Rp 1,237 Milyar","77.4 kWh","519 - 614 km","322 hp","5 Kursi","18 Menit","https://www.oto.com/mobil-baru/hyundai/ioniq-6",TRUE
"Citroen E-C3","Rp 380,5 Juta","29.2 kWh","320 km","56 hp","5 Kursi","57 Menit","https://www.oto.com/mobil-baru/citroen/e-c3",TRUE
