id,brand,name,make,model,battery_kwh,range_km,price_range,charging_time,power_hp,seats,top_speed_kmh,fast_charging_power_kw_dc,fast_charge_port,car_body_type,drivetrain,efficiency_wh_per_km,source_url,is_ev
wuling-air-ev,Wuling,Wuling Air EV,Wuling,Air EV,26.7,200.0,"Rp 214 - 307,5 Juta",8.5 Jam,40 hp,4,,,,,,,https://www.oto.com/mobil-baru/wuling/ev,True
vinfast-vf-5,VinFast,VinFast VF 5,VinFast,VF 5,29.6,260.0,"Rp 323,17 Juta",30 Menit,94 hp,5,,,,,,,https://www.oto.com/mobil-baru/vinfast/vf-5,True
mg-4-ev,MG,MG 4 EV,MG,4 EV,51.0,425.0,Rp 345 - 419 Juta,35 Menit,168 - 201 hp,5,,,,,,,https://www.oto.com/mobil-baru/mg/4-ev,True
byd-m6,BYD,BYD M6,BYD,M6,55.4,420.0,Rp 383 - 433 Juta,40 Menit,154 hp,6,,,,,,,https://www.oto.com/mobil-baru/byd/m6,True
wuling-binguo-ev,Wuling,Wuling Binguo EV,Wuling,Binguo EV,31.9,333.0,Rp 279 - 332 Juta,35 Menit,67 hp,5,,,,,,,https://www.oto.com/mobil-baru/wuling/binguo-ev,True
vinfast-vf-e34,VinFast,VinFast VF e34,VinFast,VF e34,41.9,318.0,"Rp 411,86 Juta",27 Menit,147 hp,5,,,,,,,https://www.oto.com/mobil-baru/vinfast/vf-e34,True
wuling-cloud-ev,Wuling,Wuling Cloud EV,Wuling,Cloud EV,50.6,460.0,Rp 415 - 443 Juta,30 Menit,134 hp,5,,,,,,,https://www.oto.com/mobil-baru/wuling/cloud,True
byd-seal,BYD,BYD Seal,BYD,Seal,82.56,580.0,Rp 639 - 750 Juta,37 Menit,313 - 530 hp,5,220.0,75.0,CCS,Sedan,RWD,133.0,https://www.oto.com/mobil-baru/byd/seal,True
byd-dolphin,BYD,BYD Dolphin,BYD,Dolphin,44.9,410.0,Rp 369 - 429 Juta,30 Menit,95 - 204 hp,5,150.0,50.0,CCS,Hatchback,FWD,132.0,https://www.oto.com/mobil-baru/byd/dolphin,True
chery-e5,Chery,CHERY E5,Chery,E5,61.0,430.0,"Rp 379,9 - 419,9 Juta",28 Menit,208 hp,5,,,,,,,https://www.oto.com/mobil-baru/chery/e5,True
byd-atto-3,BYD,BYD Atto 3,BYD,Atto 3,49.92,410.0,Rp 390 - 520 Juta,45 Menit,204 hp,5,160.0,75.0,CCS,SUV,FWD,144.0,https://www.oto.com/mobil-baru/byd/atto-3,True
neta-v-ii,Neta,Neta V-II,Neta,V-II,40.7,401.0,Rp 299 Juta,30 Menit,94 hp,5,,,,,,,https://www.oto.com/mobil-baru/neta/v-ii,True
farizon-sv,Farizon,Farizon SV,Farizon,SV,82.88,415.0,Rp 698 Juta,45 Menit,227 hp,16,,,,,,,https://www.oto.com/mobil-baru/farizon/sv,True
vinfast-limo-green,VinFast,VinFast Limo Green,VinFast,Limo Green,60.13,400.0,Rp 389 Juta,30 Menit,201 hp,7,,,,,,,https://www.oto.com/mobil-baru/vinfast/limo-green,True
zeekr-7x,Zeekr,ZEEKR 7X,Zeekr,7X,100.0,605.0,"Rp 1,1 Milyar",15 Menit,637 hp,5,210.0,260.0,CCS,SUV,RWD,153.0,https://www.oto.com/mobil-baru/zeekr/7x,True
suzuki-e-vitara,Suzuki,Suzuki e-Vitara,Suzuki,e-Vitara,61.0,400.0,Rp 755 - 758 Juta,60 Menit,172 hp,5,,,,,,,https://www.oto.com/mobil-baru/suzuki/e-vitara,True
mg-s5-ev,MG,MG S5 EV,MG,S5 EV,49.0,420.0,"Rp 333,9 - 455,9 Juta",35 Menit,168 hp,5,,,,,,,https://www.oto.com/mobil-baru/mg/s5-ev,True
byd-atto-4,BYD,BYD Atto 4,BYD,Atto 4,82.5,700.0,"Rp 26,6 - 31,6 Juta",30 Menit,308 hp,5,,,,,,,https://www.oto.com/mobil-baru/byd/atto-4,True
